id,title,description,availability,condition,price,link,image_link,brand
6,"Armaf Club de Nuit Intense Men 105ml EDT","Top Notes (The Energetic Opening): A powerful, fresh, and zesty blast of Lemon, bright Pineapple, crisp Bergamot, tart Black Currant, and juicy Apple. (Starts with a sharp, vibrant citrus that quickly smooths out.)Middle Notes (The Smoky Heart): A sophisticated transition to a floral-spicy heart with smoky, masculine Birch, elegant Rose, and clean Jasmine, creating an addictive, leathery nuance.Base Notes (The Lingering Dry Down): A deep, rich, and long-lasting foundation of creamy Vanilla, warm Ambergris, earthy Patchouli, and sensual Musk.","in stock",new,"3,700.00 BDT",http://127.0.0.1:8000/product/armaf-club-de-nuit-intense-men-105ml-edt-105ml-1760006974,http://127.0.0.1:8000/Backend/images/products/armaf-club-de-nuit-intense-men-105ml-edt-105ml-1751196096-1.webp,Armaf
182,"Lattafa Najdia 100ml EDP + 50ml Deo for Men","Lattafa Najdia is a refreshing, pure perfume with aqua and citrus notes.The top note opens fresh and dynamic with bergamot, lemongrass, lemon, apple, and cinnamon.Orange blossoms in the heart note set flowery accents and are accompanied by aqua notes, cardamom, rosemary, and lavender. The base is warm yet slightly fresh with cedar, sandalwood, tobacco, amber, and musk.&nbsp;All our products are 100% original, authentic name brands. We do not sell fake or counterfeit products.Top Notes: Bergamot, Lemongrass, Lemon, Apple, and CinnamonMiddle Notes: Aqua notes, Cardamom, Rosemary, and LavenderBase Notes: Cedar, Sandalwood, Tobacco, Amber, and Musk","in stock",new,"2,000.00 BDT",http://127.0.0.1:8000/product/lattafa-najdia-100ml-edp-50ml-deo-for-men-100ml-1670744303,http://127.0.0.1:8000/Backend/images/products/lattafa-najdia-100ml-edp-50ml-deo-for-men-100ml-1670744303-1.jpg,Lattafa
183,"Lattafa Badee Al Oud – Oud for Glory 100ml EDP for Unisex","Badee Al Oud, Oud for Glory by Lattafa Perfumes is an oriental, warm and woody fragrance launched in 2020. It has an excellent sillage. The most stunning oud for exceptional tastes. The fragrance opens with sweet notes of Saffron, Lavender and Nutmeg. Its heart is composed of notes of Agarwood (Oud) and Patchouli whereas the base notes are essentially Agarwood (Oud), Musk and Patchouli. All our products are 100% original, authentic name brands. We do not sell fake or counterfeit products.Top Notes: Saffron, Lavender, NutmegMiddle Notes: Agarwood (oud), PatchouliBase Notes: Agarwood (oud), Patchouli, Musk","in stock",new,"3,000.00 BDT",http://127.0.0.1:8000/product/lattafa-badee-al-oud-oud-for-glory-100ml-edp-for-unisex-100ml-1670744870,http://127.0.0.1:8000/Backend/images/products/lattafa-badee-al-oud-oud-for-glory-100ml-edp-for-unisex-100ml-1670744870-1.jpg,Lattafa
298,"Ajmal Kuro 90ml EDP for Men","The scent for stylish &amp; energetic young men, with the essence of energizing aqueous notes. An audacious smash-up of freshness and spice. Bergamot, Geranium, Lavender and Pepper trifle with the warm breath of Patchouli, Vetiver and Ambergris. Ecstatically refreshing and adventurous enough to win the wearer.&nbsp;","in stock",new,"2,950.00 BDT",http://127.0.0.1:8000/product/ajmal-kuro-90ml-edp-for-men-90ml-1672491894,http://127.0.0.1:8000/Backend/images/products/ajmal-kuro-90ml-edp-for-men-90ml-1672491894-1.webp,Ajmal
301,"Ajmal Raindrops 50ml EDP for Women","Ajmal Raindrops Combining uplifting Fruity and sensual Floral notes for the ultra-modern woman of today. With a unique mix of Floral, Fruity and Fresh notes, Raindrops is a modern scent, which exudes a sleek and simplistic elegance enveloping the wearer in a delicate weave of contemporary elements. The fragrance, with its clean, back to basics chic is designed to appeal to women who seek practical scents, reminiscent of outdoor freshness.&nbsp;All our products are 100% original, authentic name brands. We do not sell fake or counterfeit products.Top Notes: Fruits, WoodsMiddle Notes: Animalic notes, Floral notesFragrance Notes: Amber","in stock",new,"2,000.00 BDT",http://127.0.0.1:8000/product/ajmal-raindrops-50ml-edp-for-women-50ml-1672557490,http://127.0.0.1:8000/Backend/images/products/ajmal-raindrops-50ml-edp-for-women-50ml-1672557490-1.jpg,Ajmal
346,"Afnan 9pm 100ml EDP for Men","Top Notes: Bergamot, Lavender, Cinnamon, AppleMiddle Notes: Muguet, Orange BlossomBase Notes: Patchouly, Amber, Vanilla, Tonka Bean","out of stock",new,"3,100.00 BDT",http://127.0.0.1:8000/product/afnan-9pm-100ml-edp-for-men-100ml-1763202920,http://127.0.0.1:8000/Backend/images/products/afnan-9pm-100ml-edp-for-men-100ml-1671540399-1.jpg,Afnan
414,"Rasasi Fattan Pour Homme 50ml EDP for Men","Rasasi Fattan Pour Homme Cologne by Rasasi, With above-average longevity, Rasasi Fattan Pour Homme is a woody and earthy fragrance for men.&nbsp;Fattan in Urban English means awesome person suiting the essence contained within the simple pale green liquid. The glass bottle features the company’s signature Arabic symbols in an easy to use spray. Crisp and clean notes of bergamot and grapefruit combine with spicy pink pepper in the opening. Flowery notes combine with vetiver, patchouli and cedar in&nbsp;the heart. The base notes feature oakmoss, balsamic amber and benzoin creating a men’s fragrance suitable for all year wear.All our products are 100% original, authentic name brands. We do not sell fake or counterfeit products.Top Notes: Grapefruit, Bergamot, Pink PepperMiddle Notes: Vetiver, cedar, Patchouli, Lily of the ValleyBase Notes: oakmoss, Amber, Benzoin","in stock",new,"2,200.00 BDT",http://127.0.0.1:8000/product/rasasi-fattan-pour-homme-50ml-edp-for-men-50ml-1675936272,http://127.0.0.1:8000/Backend/images/products/rasasi-fattan-pour-homme-50ml-edp-for-men-50ml-1675936272-1.png,Rasasi
336,"Ajmal Evoke Gold Him 90ml EDP","Fragrance NotesTop Notes: Spicy Cardamom, Neroli, and Pink Pepper.Heart Notes: Geranium, Orange Flower, and Mint.Base Notes: Tonka Bean, Amber, and Musk.","in stock",new,"4,200.00 BDT",http://127.0.0.1:8000/product/ajmal-evoke-gold-him-90ml-edp-90ml-1759907888,http://127.0.0.1:8000/Backend/images/products/ajmal-evoke-gold-him-90ml-edp-90ml-1751194738-1.webp,Ajmal
512,"Armaf Club de Nuit Urban Man Elixir 105ml EDP","Club De Nuit Urban Elixir by Armaf is a fragrance for men. This is a new fragrance. Club De Nuit Urban Elixir was launched in 2022. Top notes are Bergamot, Pink Pepper, Jasmine and Orange Blossom; middle notes are Lavender, Geranium, elemi, Saffron, Tagetes and Vetiver; base notes are Ambroxan, Patchouli, Cedar, Amber and Labdanum.All our products are 100% original, authentic name brands. We do not sell fake or counterfeit products.Top notes are Bergamot, Pink Pepper, Jasmine and Orange BlossomMiddle notes are Lavender, Geranium, elemi, Saffron, Tagetes and VetiverBase notes are Ambroxan, Patchouli, Cedar, Amber and Labdanum","in stock",new,"4,000.00 BDT",http://127.0.0.1:8000/product/armaf-club-de-nuit-urban-man-elixir-105ml-edp-105-1684995967,http://127.0.0.1:8000/Backend/images/products/armaf-club-de-nuit-urban-man-elixir-105ml-edp-105-1684995967-1.webp,Armaf
181,"Lattafa Fakhar 100ml EDP for Men","Top Notes: Lavender, Apple, BergamotHeart Notes: Geranium, Sage, Juniper BerriesBase Notes: Tonka Bean, Amberwood, Cedarwood","in stock",new,"3,000.00 BDT",http://127.0.0.1:8000/product/lattafa-fakhar-100ml-edp-for-men-100ml-1763451637,http://127.0.0.1:8000/Backend/images/products/lattafa-fakhar-100ml-edp-for-men-100ml-1670739195-1.jpg,Lattafa
